product_key,product_id,product_name,sub_category_key
67,FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,6
68,FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,6
69,FUR-CH-10001270,Harbour Creations Steel Folding Chair,6
70,FUR-CH-10001394,Global Leather Executive Chair,6
71,FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,6
72,FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,6
73,FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,6
74,FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",6
75,FUR-CH-10001797,"Safco Chair Connectors, 6/Carton",6
76,FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,6
77,FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,6
78,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,6
79,FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,6
80,FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,6
81,FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,6
82,FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",6
83,FUR-CH-10002073,Hon Olson Stacker Chairs,6
84,FUR-CH-10002084,Hon Mobius Operator's Chair,6
85,FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,6
86,FUR-CH-10002304,"Global Stack Chair without Arms, Black",6
87,FUR-CH-10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,6
88,FUR-CH-10002320,Hon Pagoda Stacking Chairs,6
89,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,6
90,FUR-CH-10002335,Hon GuestStacker Chair,6
91,FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,6
92,FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",6
93,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,6
94,FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",6
95,FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",6
96,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",6
97,FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,6
98,FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",6
99,FUR-CH-10002961,"Leather Task Chair, Black",6
100,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",6
101,FUR-CH-10003061,"Global Leather Task Chair, Black",6
102,FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,6
103,FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",6
104,FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,6
105,FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,6
106,FUR-CH-10003396,Global Deluxe Steno Chair,6
107,FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",6
108,FUR-CH-10003606,SAFCO Folding Chair Trolley,6
109,FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,6
110,FUR-CH-10003761,Global Italian Leather Office Chair,6
111,FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",6
112,FUR-CH-10003817,"Global Value Steno Chair, Gray",6
113,FUR-CH-10003833,Novimex Fabric Task Chair,6
114,FUR-CH-10003846,Hon Valutask Swivel Chairs,6
115,FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,6
116,FUR-CH-10003968,Novimex Turbo Task Chair,6
117,FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,6
118,FUR-CH-10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,6
119,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,6
120,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,6
121,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",6
122,FUR-CH-10004287,SAFCO Arco Folding Chair,6
123,FUR-CH-10004289,Global Super Steno Chair,6
124,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",6
125,FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",6
126,FUR-CH-10004540,Global Chrome Stack Chair,6
127,FUR-CH-10004626,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,6
128,FUR-CH-10004675,"Lifetime Advantage Folding Chairs, 4/Carton",6
129,FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",6
130,FUR-CH-10004754,"Global Stack Chair with Arms, Black",6
131,FUR-CH-10004853,"Global Manager's Adjustable Task Chair, Storm",6
132,FUR-CH-10004860,Global Low Back Tilter Chair,6
133,FUR-CH-10004875,Harbour Creations 67200 Series Stacking Chairs,6
134,FUR-CH-10004886,Bevis Steel Folding Chairs,6
135,FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,6
136,FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,6
137,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",10
138,FUR-FU-10000023,Eldon Wave Desk Accessories,10
139,FUR-FU-10000073,Deflect-O Glasstique Clear Desk Accessories,10
140,FUR-FU-10000076,24-Hour Round Wall Clock,10
141,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",10
142,FUR-FU-10000175,DAX Wood Document Frame.,10
143,FUR-FU-10000193,Tenex Chairmats For Use with Hard Floors,10
144,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",10
145,FUR-FU-10000221,"Master Caster Door Stop, Brown",10
146,FUR-FU-10000222,"Seth Thomas 16"" Steel Case Clock",10
147,FUR-FU-10000246,Aluminum Document Frame,10
148,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",10
149,FUR-FU-10000277,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,10
150,FUR-FU-10000293,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,10
151,FUR-FU-10000305,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",10
152,FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,10
153,FUR-FU-10000320,OIC Stacking Trays,10
154,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,10
155,FUR-FU-10000409,"GE 4 Foot Flourescent Tube, 40 Watt",10
156,FUR-FU-10000448,Tenex Chairmats For Use With Carpeted Floors,10
157,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",10
158,FUR-FU-10000550,Stacking Trays by OIC,10
159,FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,10
160,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,10
161,FUR-FU-10000672,"Executive Impressions 10"" Spectator Wall Clock",10
162,FUR-FU-10000719,"DAX Cubicle Frames, 8-1/2 x 11",10
163,FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",10
164,FUR-FU-10000732,Eldon 200 Class Desk Accessories,10
165,FUR-FU-10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,10
166,FUR-FU-10000755,Eldon Expressions Mahogany Wood Desk Collection,10
167,FUR-FU-10000758,DAX Natural Wood-Tone Poster Frame,10
168,FUR-FU-10000771,"Eldon 200 Class Desk Accessories, Smoke",10
169,FUR-FU-10000794,"Eldon Stackable Tray, Side-Load, Legal, Smoke",10
170,FUR-FU-10000820,Tensor Brushed Steel Torchiere Floor Lamp,10
171,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",10
172,FUR-FU-10001025,"Eldon Imàge Series Desk Accessories, Clear",10
173,FUR-FU-10001037,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",10
174,FUR-FU-10001057,Tensor Track Tree Floor Lamp,10
175,FUR-FU-10001085,3M Polarizing Light Filter Sleeves,10
176,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,10
177,FUR-FU-10001185,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",10
178,FUR-FU-10001196,DAX Cubicle Frames - 8x10,10
179,FUR-FU-10001215,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",10
180,FUR-FU-10001290,Executive Impressions Supervisor Wall Clock,10
181,FUR-FU-10001379,"Executive Impressions 16-1/2"" Circular Wall Clock",10
182,FUR-FU-10001424,Dax Clear Box Frame,10
183,FUR-FU-10001468,Tenex Antistatic Computer Chair Mats,10
184,FUR-FU-10001473,"Eldon Executive Woodline II Desk Accessories, Mahogany",10
185,FUR-FU-10001475,"Contract Clock, 14"", Brown",10
186,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",10
187,FUR-FU-10001488,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",10
188,FUR-FU-10001546,Dana Swing-Arm Lamps,10
189,FUR-FU-10001588,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",10
190,FUR-FU-10001591,Advantus Panel Wall Certificate Holder - 8.5x11,10
191,FUR-FU-10001602,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",10
192,FUR-FU-10001617,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",10
193,FUR-FU-10001706,Longer-Life Soft White Bulbs,10
194,FUR-FU-10001731,Acrylic Self-Standing Desk Frames,10
195,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",10
196,FUR-FU-10001847,Eldon Image Series Black Desk Accessories,10
197,FUR-FU-10001852,"Eldon Regeneration Recycled Desk Accessories, Smoke",10
198,FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",10
199,FUR-FU-10001867,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",10
200,FUR-FU-10001876,"Computer Room Manger, 14""",10
201,FUR-FU-10001889,Ultra Door Pull Handle,10
202,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,10
203,FUR-FU-10001934,Magnifier Swing Arm Lamp,10
204,FUR-FU-10001935,3M Hangers With Command Adhesive,10
205,FUR-FU-10001940,Staple-based wall hangings,10
206,FUR-FU-10001967,Telescoping Adjustable Floor Lamp,10
207,FUR-FU-10001979,Dana Halogen Swing-Arm Architect Lamp,10
208,FUR-FU-10001986,"Dana Fluorescent Magnifying Lamp, White, 36""",10
209,FUR-FU-10002030,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",10
210,FUR-FU-10002045,"Executive Impressions 14""",10
211,FUR-FU-10002088,Nu-Dell Float Frame 11 x 14 1/2,10
212,FUR-FU-10002107,Eldon Pizzaz Desk Accessories,10
213,FUR-FU-10002111,"Master Caster Door Stop, Large Brown",10
214,FUR-FU-10002116,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",10
215,FUR-FU-10002157,Artistic Insta-Plaque,10
216,FUR-FU-10002191,G.E. Halogen Desk Lamp Bulbs,10
217,FUR-FU-10002240,Nu-Dell EZ-Mount Plastic Wall Frames,10
218,FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",10
219,FUR-FU-10002268,Ultra Door Push Plate,10
220,FUR-FU-10002298,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",10
221,FUR-FU-10002364,"Eldon Expressions Wood Desk Accessories, Oak",10
222,FUR-FU-10002379,Eldon Econocleat Chair Mats for Low Pile Carpets,10
223,FUR-FU-10002396,"DAX Copper Panel Document Frame, 5 x 7 Size",10
224,FUR-FU-10002445,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",10
225,FUR-FU-10002456,"Master Caster Door Stop, Large Neon Orange",10
226,FUR-FU-10002501,Nu-Dell Executive Frame,10
227,FUR-FU-10002505,Eldon 100 Class Desk Accessories,10
228,FUR-FU-10002506,"Tensor ""Hersey Kiss"" Styled Floor Lamp",10
229,FUR-FU-10002508,Document Clip Frames,10
230,FUR-FU-10002553,"Electrix Incandescent Magnifying Lamp, Black",10
231,FUR-FU-10002554,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",10
232,FUR-FU-10002597,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",10
233,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,10
234,FUR-FU-10002685,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",10
235,FUR-FU-10002703,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",10
236,FUR-FU-10002759,12-1/2 Diameter Round Wall Clock,10
237,FUR-FU-10002813,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",10
238,FUR-FU-10002874,Ultra Commercial Grade Dual Valve Door Closer,10
239,FUR-FU-10002878,"Seth Thomas 14"" Day/Date Wall Clock",10
240,FUR-FU-10002885,Magna Visual Magnetic Picture Hangers,10
241,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,10
242,FUR-FU-10002937,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",10
243,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",10
244,FUR-FU-10002963,"Master Caster Door Stop, Gray",10
245,FUR-FU-10003026,"Eldon Regeneration Recycled Desk Accessories, Black",10
246,FUR-FU-10003039,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",10
247,FUR-FU-10003095,"Linden 12"" Wall Clock With Oak Frame",10
248,FUR-FU-10003096,"Master Giant Foot Doorstop, Safety Yellow",10
249,FUR-FU-10003142,"Master Big Foot Doorstop, Beige",10
250,FUR-FU-10003192,Luxo Adjustable Task Clamp Lamp,10
251,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",10
252,FUR-FU-10003247,36X48 HARDFLOOR CHAIRMAT,10
253,FUR-FU-10003268,Eldon Radial Chair Mat for Low to Medium Pile Carpets,10
254,FUR-FU-10003274,Regeneration Desk Collection,10
255,FUR-FU-10003347,Coloredge Poster Frame,10
256,FUR-FU-10003374,Electrix Fluorescent Magnifier Lamps & Weighted Base,10
257,FUR-FU-10003394,"Tenex ""The Solids"" Textured Chair Mats",10
258,FUR-FU-10003424,Nu-Dell Oak Frame,10
259,FUR-FU-10003464,"Seth Thomas 8 1/2"" Cubicle Clock",10
260,FUR-FU-10003489,Contemporary Borderless Frame,10
261,FUR-FU-10003535,Howard Miller Distant Time Traveler Alarm Clock,10
262,FUR-FU-10003553,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",10
263,FUR-FU-10003577,Nu-Dell Leatherette Frames,10
264,FUR-FU-10003601,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",10
265,FUR-FU-10003623,"DataProducts Ampli Magnifier Task Lamp, Black,",10
266,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",10
267,FUR-FU-10003691,"Eldon Image Series Desk Accessories, Ebony",10
268,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",10
269,FUR-FU-10003724,Westinghouse Clip-On Gooseneck Lamps,10
270,FUR-FU-10003731,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",10
271,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,10
272,FUR-FU-10003798,"Ultra Door Kickplate, 8""H x 34""W",10
273,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",10
274,FUR-FU-10003806,"Tenex Chairmat w/ Average Lip, 45"" x 53""",10
275,FUR-FU-10003829,Stackable Trays,10
276,FUR-FU-10003832,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",10
277,FUR-FU-10003849,"DAX Metal Frame, Desktop, Stepped-Edge",10
278,FUR-FU-10003878,"Linden 10"" Round Wall Clock, Black",10
279,FUR-FU-10003919,Eldon Executive Woodline II Cherry Finish Desk Accessories,10
280,FUR-FU-10003930,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,10
281,FUR-FU-10003975,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,10
282,FUR-FU-10003976,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",10
283,FUR-FU-10003981,Eldon Wave Desk Accessories,10
284,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",10
285,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",10
286,FUR-FU-10004018,Tensor Computer Mounted Lamp,10
287,FUR-FU-10004020,Advantus Panel Wall Acrylic Frame,10
288,FUR-FU-10004053,DAX Two-Tone Silver Metal Document Frame,10
289,FUR-FU-10004071,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,10
290,FUR-FU-10004090,"Executive Impressions 14"" Contract Wall Clock",10
291,FUR-FU-10004091,"Eldon 200 Class Desk Accessories, Black",10
292,FUR-FU-10004093,Hand-Finished Solid Wood Document Frame,10
293,FUR-FU-10004164,"Eldon 300 Class Desk Accessories, Black",10
294,FUR-FU-10004188,Luxo Professional Combination Clamp-On Lamps,10
295,FUR-FU-10004245,"Career Cubicle Clock, 8 1/4"", Black",10
296,FUR-FU-10004270,"Eldon Image Series Desk Accessories, Burgundy",10
297,FUR-FU-10004306,Electrix Halogen Magnifier Lamp,10
298,FUR-FU-10004351,Staple-based wall hangings,10
299,FUR-FU-10004415,"Stacking Tray, Side-Loading, Legal, Smoke",10
300,FUR-FU-10004460,"Howard Miller 12"" Round Wall Clock",10
301,FUR-FU-10004586,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,10
302,FUR-FU-10004587,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",10
303,FUR-FU-10004597,Eldon Cleatmat Chair Mats for Medium Pile Carpets,10
304,FUR-FU-10004622,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,10
305,FUR-FU-10004665,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",10
306,FUR-FU-10004666,DAX Clear Channel Poster Frame,10
307,FUR-FU-10004671,"Executive Impressions 12"" Wall Clock",10
308,FUR-FU-10004712,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",10
309,FUR-FU-10004748,"Howard Miller 16"" Diameter Gallery Wall Clock",10
310,FUR-FU-10004845,"Deflect-o EconoMat Nonstudded, No Bevel Mat",10
311,FUR-FU-10004848,DAX Solid Wood Frames,10
312,FUR-FU-10004864,Eldon 500 Class Desk Accessories,10
313,FUR-FU-10004904,"Eldon ""L"" Workstation Diamond Chairmat",10
314,FUR-FU-10004909,Contemporary Wood/Metal Frame,10
315,FUR-FU-10004952,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",10
316,FUR-FU-10004960,"Seth Thomas 12"" Clock w/ Goldtone Case",10
317,FUR-FU-10004963,"Eldon 400 Class Desk Accessories, Black Carbon",10
318,FUR-FU-10004973,Flat Face Poster Frame,10
319,FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,17
320,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,17
321,FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",17
322,FUR-TA-10000688,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",17
323,FUR-TA-10000849,Bevis Rectangular Conference Tables,17
324,FUR-TA-10001039,KI Adjustable-Height Table,17
325,FUR-TA-10001086,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",17
326,FUR-TA-10001095,Chromcraft Round Conference Tables,17
327,FUR-TA-10001307,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",17
328,FUR-TA-10001520,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",17
329,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,17
330,FUR-TA-10001676,Hon 61000 Series Interactive Training Tables,17
331,FUR-TA-10001691,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",17
332,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,17
333,FUR-TA-10001768,Hon Racetrack Conference Tables,17
334,FUR-TA-10001771,"Bush Cubix Conference Tables, Fully Assembled",17
335,FUR-TA-10001857,Balt Solid Wood Rectangular Table,17
336,FUR-TA-10001866,Bevis Round Conference Room Tables and Bases,17
337,FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,17
338,FUR-TA-10001932,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",17
339,FUR-TA-10001950,Balt Solid Wood Round Tables,17
340,FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",17
341,FUR-TA-10002228,"Bevis Traditional Conference Table Top, Plinth Base",17
342,FUR-TA-10002356,Bevis Boat-Shaped Conference Table,17
343,FUR-TA-10002530,"Iceberg OfficeWorks 42"" Round Tables",17
344,FUR-TA-10002533,BPI Conference Tables,17
345,FUR-TA-10002607,KI Conference Tables,17
346,FUR-TA-10002622,"Bush Andora Conference Table, Maple/Graphite Gray Finish",17
347,FUR-TA-10002645,Hon Rectangular Conference Tables,17
348,FUR-TA-10002774,Laminate Occasional Tables,17
349,FUR-TA-10002855,Bevis Round Conference Table Top & Single Column Base,17
350,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",17
351,FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",17
352,FUR-TA-10003008,"Lesro Round Back Collection Coffee Table, End Table",17
353,FUR-TA-10003238,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",17
354,FUR-TA-10003392,Global Adaptabilities Conference Tables,17
355,FUR-TA-10003469,Balt Split Level Computer Training Table,17
356,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,17
357,FUR-TA-10003569,Bretford CR8500 Series Meeting Room Furniture,17
358,FUR-TA-10003715,Hon 2111 Invitation Series Corner Table,17
359,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,17
360,FUR-TA-10003837,Anderson Hickey Conga Table Tops & Accessories,17
